FIPS	year	state	state2	county	income	population	LND010200D	region	totalvotes	candidate.democrat	candidate.republican	candidatevotes.democrat	candidatevotes.republican
13199	2004	Georgia	GA	Meriwether	22819	22563	505.34	south	8147	John Kerry	George W. Bush	3709	4402
13199	2008	Georgia	GA	Meriwether	26062	22632	505.34	south	9504	Barack Obama	John McCain	4465	4982
13199	2012	Georgia	GA	Meriwether	28881	21335	505.34	south	9264	Barack Obama	Mitt Romney	4331	4856
13199	2016	Georgia	GA	Meriwether	32694	21074	505.34	south	9217	Hillary Clinton	Donald Trump	3804	5222
13199	2020	Georgia	GA	Meriwether County	NA	NA	505.34	south	10877	Joshep Biden	Donald Trump	4287	6524
13201	2000	Georgia	GA	Miller	23118	6351	283.72	south	2150	Al Gore	George W. Bush	783	1349
13201	2004	Georgia	GA	Miller	27926	6135	283.72	south	2441	John Kerry	George W. Bush	736	1694
13201	2008	Georgia	GA	Miller	30398	6158	283.72	south	2738	Barack Obama	John McCain	818	1899
13201	2012	Georgia	GA	Miller	35179	6004	283.72	south	2775	Barack Obama	Mitt Romney	852	1905
13201	2016	Georgia	GA	Miller	38291	5874	283.72	south	2544	Hillary Clinton	Donald Trump	623	1891
13201	2020	Georgia	GA	Miller County	NA	NA	283.72	south	2834	Joshep Biden	Donald Trump	748	2066
13205	2000	Georgia	GA	Mitchell	18809	23965	513.81	south	5799	Al Gore	George W. Bush	2971	2790
13205	2004	Georgia	GA	Mitchell	22900	23520	513.81	south	7267	John Kerry	George W. Bush	3360	3885
13205	2008	Georgia	GA	Mitchell	26195	23840	513.81	south	8120	Barack Obama	John McCain	3872	4201
13205	2012	Georgia	GA	Mitchell	29335	23086	513.81	south	8275	Barack Obama	Mitt Romney	4081	4155
13205	2016	Georgia	GA	Mitchell	33440	22455	513.81	south	7880	Hillary Clinton	Donald Trump	3493	4279
13205	2020	Georgia	GA	Mitchell County	NA	NA	513.81	south	8962	Joshep Biden	Donald Trump	3993	4935
13207	2000	Georgia	GA	Monroe	24721	21824	397.8	south	7541	Al Gore	George W. Bush	2839	4561
13207	2004	Georgia	GA	Monroe	28122	23648	397.8	south	9783	John Kerry	George W. Bush	3216	6522
13207	2008	Georgia	GA	Monroe	33306	25969	397.8	south	12131	Barack Obama	John McCain	4106	7933
13207	2012	Georgia	GA	Monroe	36460	26373	397.8	south	12277	Barack Obama	Mitt Romney	3785	8361
13207	2016	Georgia	GA	Monroe	41723	26905	397.8	south	12687	Hillary Clinton	Donald Trump	3571	8832
13207	2020	Georgia	GA	Monroe County	NA	NA	397.8	south	15590	Joshep Biden	Donald Trump	4385	11057
13209	2000	Georgia	GA	Montgomery	18768	8234	247.32	south	2509	Al Gore	George W. Bush	1013	1465
13209	2004	Georgia	GA	Montgomery	20772	9040	247.32	south	3168	John Kerry	George W. Bush	1007	2150
13209	2008	Georgia	GA	Montgomery	24029	9100	247.32	south	3590	Barack Obama	John McCain	1045	2521
13209	2012	Georgia	GA	Montgomery	26186	8887	247.32	south	3832	Barack Obama	Mitt Romney	1135	2662
13209	2016	Georgia	GA	Montgomery	29472	8985	247.32	south	3576	Hillary Clinton	Donald Trump	847	2670
13209	2020	Georgia	GA	Montgomery County	NA	NA	247.32	south	3967	Joshep Biden	Donald Trump	980	2960
13211	2000	Georgia	GA	Morgan	26876	15531	354.6	south	5902	Al Gore	George W. Bush	2238	3524
13211	2004	Georgia	GA	Morgan	30714	16604	354.6	south	7242	John Kerry	George W. Bush	2304	4902
13211	2008	Georgia	GA	Morgan	35200	17958	354.6	south	9151	Barack Obama	John McCain	3091	5987
13211	2012	Georgia	GA	Morgan	37659	17809	354.6	south	9027	Barack Obama	Mitt Romney	2753	6186
13211	2016	Georgia	GA	Morgan	45044	18107	354.6	south	9475	Hillary Clinton	Donald Trump	2663	6559
13211	2020	Georgia	GA	Morgan County	NA	NA	354.6	south	11706	Joshep Biden	Donald Trump	3353	8231
13213	2000	Georgia	GA	Murray	20210	36737	346.88	south	8372	Al Gore	George W. Bush	2684	5539
13213	2004	Georgia	GA	Murray	21652	39465	346.88	south	10689	John Kerry	George W. Bush	2899	7745
13213	2008	Georgia	GA	Murray	23261	39869	346.88	south	11382	Barack Obama	John McCain	3026	8180
13213	2012	Georgia	GA	Murray	24572	39311	346.88	south	11217	Barack Obama	Mitt Romney	2542	8443
13213	2016	Georgia	GA	Murray	28231	39347	346.88	south	12458	Hillary Clinton	Donald Trump	1800	10341
13213	2020	Georgia	GA	Murray County	NA	NA	346.88	south	15389	Joshep Biden	Donald Trump	2301	12944
13215	2000	Georgia	GA	Muscogee	26597	186478	221	south	52163	Al Gore	George W. Bush	28193	23479
13215	2004	Georgia	GA	Muscogee	31255	185057	221	south	63948	John Kerry	George W. Bush	32867	30850
13215	2008	Georgia	GA	Muscogee	35087	184763	221	south	74065	Barack Obama	John McCain	44158	29568
13215	2012	Georgia	GA	Muscogee	37089	198965	221	south	70603	Barack Obama	Mitt Romney	42573	27510
13215	2016	Georgia	GA	Muscogee	40989	196219	221	south	69032	Hillary Clinton	Donald Trump	39851	26976
13215	2020	Georgia	GA	Muscogee County	NA	NA	221	south	80514	Joshep Biden	Donald Trump	49446	30107
13217	2000	Georgia	GA	Newton	23907	62768	279.19	south	18375	Al Gore	George W. Bush	6703	11127
13217	2004	Georgia	GA	Newton	24971	80603	279.19	south	29166	John Kerry	George W. Bush	10939	18095
13217	2008	Georgia	GA	Newton	27415	98240	279.19	south	41435	Barack Obama	John McCain	20827	20337
13217	2012	Georgia	GA	Newton	28080	100956	279.19	south	43234	Barack Obama	Mitt Romney	21851	20982
13217	2016	Georgia	GA	Newton	31609	106499	279.19	south	43987	Hillary Clinton	Donald Trump	21943	20913
13217	2020	Georgia	GA	Newton County	NA	NA	279.19	south	54234	Joshep Biden	Donald Trump	29789	23869
13219	2000	Georgia	GA	Oconee	30850	25874	186.14	south	11168	Al Gore	George W. Bush	3184	7611
13219	2004	Georgia	GA	Oconee	35526	27904	186.14	south	14170	John Kerry	George W. Bush	3789	10276
13219	2008	Georgia	GA	Oconee	46527	31697	186.14	south	17132	Barack Obama	John McCain	4825	12120
13219	2012	Georgia	GA	Oconee	50790	33514	186.14	south	17817	Barack Obama	Mitt Romney	4421	13098
13219	2016	Georgia	GA	Oconee	59760	36929	186.14	south	20149	Hillary Clinton	Donald Trump	5581	13425
13219	2020	Georgia	GA	Oconee County	NA	NA	186.14	south	25168	Joshep Biden	Donald Trump	8162	16595
13221	2000	Georgia	GA	Oglethorpe	22635	12688	442.17	south	4385	Al Gore	George W. Bush	1519	2706
13221	2004	Georgia	GA	Oglethorpe	24655	13591	442.17	south	5628	John Kerry	George W. Bush	1899	3688
13221	2008	Georgia	GA	Oglethorpe	28999	14663	442.17	south	6447	Barack Obama	John McCain	2232	4144
13221	2012	Georgia	GA	Oglethorpe	31213	14509	442.17	south	6273	Barack Obama	Mitt Romney	1914	4251
13221	2016	Georgia	GA	Oglethorpe	34792	14712	442.17	south	6674	Hillary Clinton	Donald Trump	1831	4625
13221	2020	Georgia	GA	Oglethorpe County	NA	NA	442.17	south	8133	Joshep Biden	Donald Trump	2439	5592
13223	2000	Georgia	GA	Paulding	24313	83026	315.06	south	24260	Al Gore	George W. Bush	6743	16881
13223	2004	Georgia	GA	Paulding	23982	106350	315.06	south	40467	John Kerry	George W. Bush	9420	30843
13223	2008	Georgia	GA	Paulding	29867	137066	315.06	south	56985	Barack Obama	John McCain	17229	39192
13223	2012	Georgia	GA	Paulding	30241	144738	315.06	south	57399	Barack Obama	Mitt Romney	15825	40846
13223	2016	Georgia	GA	Paulding	35218	155246	315.06	south	64890	Hillary Clinton	Donald Trump	18025	44662
13223	2020	Georgia	GA	Paulding County	NA	NA	315.06	south	85372	Joshep Biden	Donald Trump	29695	54517
13225	2000	Georgia	GA	Peach	22741	23871	151.46	south	7137	Al Gore	George W. Bush	3540	3525
13225	2004	Georgia	GA	Peach	25269	24818	151.46	south	8545	John Kerry	George W. Bush	3961	4554
